# converted from stack_master/maps/f/global_waypoints.json (global_traj_wpnts_iqp)
# fields_id_unused
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
3.699072843179782577e+00;-7.189847668438185124e+00;-1.913431124539791028e+01;1.804642916178863077e+00;-1.608553891615140397e-01;6.460255606277277352e+00;5.125375859526243083e+00;1.983714005031598004e+00;4.787023153665200259e-01
3.799047784887344292e+00;-7.212243947150879464e+00;-1.903687297525408439e+01;1.788924395885709728e+00;-1.535924762598541160e-01;6.539091741519456491e+00;5.267126663781868778e+00;2.006056209491839493e+00;4.888892357218976303e-01
3.899022726594906008e+00;-7.233139916057642615e+00;-1.893910906167245045e+01;1.773929413760930496e+00;-1.463980386639121556e-01;6.619130015822610069e+00;5.416506703079587481e+00;2.026908398178902004e+00;4.739377908244763460e-01
3.998997668302467723e+00;-7.252603935693521464e+00;-1.884104376975951922e+01;1.759649588189311498e+00;-1.392713533898247147e-01;6.700441183247699328e+00;5.467687304081456645e+00;2.046337049707898981e+00;4.544063725967891210e-01
4.098972610010028994e+00;-7.270699726153628362e+00;-1.874272182906467066e+01;1.746079815902479959e+00;-1.322022531548500135e-01;6.781531942648597600e+00;5.421488837272933736e+00;2.064404031750574742e+00;4.362552945454881148e-01
4.198947551717591153e+00;-7.287495079741331594e+00;-1.864416534389494018e+01;1.733213709614855658e+00;-1.251885607456686145e-01;6.860991295003396218e+00;5.376170487174174006e+00;2.081175960587955842e+00;4.194149907161041635e-01
4.298922493425152425e+00;-7.303055152181353371e+00;-1.854540913586209072e+01;1.721046402562880662e+00;-1.182238433055690235e-01;6.938887966543535235e+00;5.331696001191567724e+00;2.096716846875793294e+00;4.038182146985609955e-01
4.398897435132714584e+00;-7.317447136707283306e+00;-1.844647414303235777e+01;1.709573253317696162e+00;-1.113032319670005793e-01;7.015286038793131063e+00;5.288031558826777889e+00;2.111093120999114170e+00;3.893964771860708440e-01
4.498872376840275855e+00;-7.330737232415986959e+00;-1.834738564577530795e+01;1.698789654586267739e+00;-1.044239865473277906e-01;7.090245376555646573e+00;5.245145548273146829e+00;2.124370289734123673e+00;3.760822594839106636e-01
4.598847318547838015e+00;-7.342992027990079329e+00;-1.824816460880780511e+01;1.688692500187292778e+00;-9.757765822162939306e-02;7.163822006487968075e+00;5.203008368760684732e+00;2.136614410870990799e+00;3.701851082222359923e-01
4.698822260255399286e+00;-7.354278492852658111e+00;-1.814882695978510085e+01;1.679277868542740970e+00;-9.075993172381774388e-02;7.236068453060881644e+00;5.161592255110912575e+00;2.146217733513480219e+00;3.767402075818805374e-01
4.798797201962960557e+00;-7.364662840393759069e+00;-1.804939369974039209e+01;1.670544337959561032e+00;-8.396272276263752610e-02;7.307034037626260137e+00;5.120871121522028169e+00;2.137664358014510935e+00;3.932895994666695261e-01
4.898772143670522716e+00;-7.374212529020369722e+00;-1.794987274933143695e+01;1.662488505635467684e+00;-7.719033305992167859e-02;7.376765145425258297e+00;5.080820422069361797e+00;2.132926731051487668e+00;3.837366914298071530e-01
4.998747085378083987e+00;-7.382993458569506728e+00;-1.785028619005987238e+01;1.655109477153795305e+00;-7.043850997056402830e-02;7.445305464640579629e+00;5.041417025782976680e+00;2.132098685196452070e+00;3.749557012095910968e-01
